paper_id,key,relevance_class,original_path,placed_path_6a08f53,current_path,original_sha256,final_sha256,same_content,acquisition_status,source_url,license_reported,storage_status,disposition
RW0019,GNNDSE,SUPPORTING,/home/benyamin/Desktop/Library/Automated Accelerator Optimization Aided by Graph Neural.pdf,related_work/papers/hls_dse/RW0019_Sohrabizadeh2022_GNNDSE_DAC.pdf,related_work/papers/hls_dse/RW0019_Sohrabizadeh2022_GNNDSE_DAC.pdf,d6410662a86ce13ab538782b5200f8ff253155fe6de0ef38446bee632a5cb9c5,d6410662a86ce13ab538782b5200f8ff253155fe6de0ef38446bee632a5cb9c5,true,LOCAL_EXISTING,,cc-by for OA version (gold; https://dl.acm.org/doi/pdf/10.1145/3489517.3530409),local_only (gitignored),canonical
RW0020,AutoHLS,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/AutoHLS.pdf,related_work/papers/hls_dse/RW0020_Ahmed2023_AutoHLS_MWSCAS_arxiv.pdf,related_work/papers/hls_dse/RW0020_Ahmed2023_AutoHLS_MWSCAS_arxiv.pdf,252730fe15bf87d2c7484c5de2770457802a089beae4a4089da1d5a624245a57,252730fe15bf87d2c7484c5de2770457802a089beae4a4089da1d5a624245a57,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2403.10686,none (OpenAlex: closed),local_only (gitignored),canonical
RW0021,HARP,SUPPORTING,/home/benyamin/Desktop/Library/Robust GNN-based Representation Learning for HLS.pdf,related_work/papers/hls_dse/RW0021_Sohrabizadeh2023_HARP_ICCAD.pdf,related_work/papers/hls_dse/RW0021_Sohrabizadeh2023_HARP_ICCAD.pdf,7471b30ba41a696e8817d61990ed495e57faf7d0160a28cf48e2a082abc8ccf6,7471b30ba41a696e8817d61990ed495e57faf7d0160a28cf48e2a082abc8ccf6,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),canonical
RW0023,HLSyn,SUPPORTING,/home/benyamin/Desktop/Library/Towards a Comprehensive Benchmark for High-Level Synthesis Targeted to FPGAs.pdf,related_work/papers/hls_dse/RW0023_Bai2023_HLSyn_NeurIPS.pdf,related_work/papers/hls_dse/RW0023_Bai2023_HLSyn_NeurIPS.pdf,9797c1e70e9ea803d5d0868d53f76ffc675d2ab7e484f2ca7a9f373528bcef92,9797c1e70e9ea803d5d0868d53f76ffc675d2ab7e484f2ca7a9f373528bcef92,true,LOCAL_EXISTING,https://papers.neurips.cc/paper_files/paper/2023/file/8dfc3a2720a4112243a285b98e0d4415-Paper-Datasets_and_Benchmarks.pdf,UNKNOWN (no DOI or lookup failed),local_only (gitignored),canonical
RW0024,Balor,ADJACENT,/home/benyamin/Desktop/Library/Balor HLS Source Code EvaluatorBased on Custom Graphs and Hierarchical GNNs.pdf,related_work/papers/hls_dse/RW0024_Murphy2024_Balor_ICCAD.pdf,,0101982c5232336648945d0eb5d95d42eac1757df1805a0312c7cc4cae645539,0101982c5232336648945d0eb5d95d42eac1757df1805a0312c7cc4cae645539,true,LOCAL_EXISTING,,cc-by for OA version (gold; https://dl.acm.org/doi/pdf/10.1145/3676536.3676788),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/Balor HLS Source Code EvaluatorBased on Custom Graphs and Hierarchical GNNs.pdf
RW0026,TaskTransfer,SUPPORTING,/home/benyamin/Desktop/Library/Efficient Task Transfer for HLS DSE.pdf,related_work/papers/hls_dse/RW0026_Ding2024_TaskTransfer_ICCAD.pdf,related_work/papers/hls_dse/RW0026_Ding2024_TaskTransfer_ICCAD.pdf,16ccd89b86d0cd8a0fedb27137e364ba13964e3fc45d2c0c8a55a93771c8284b,16ccd89b86d0cd8a0fedb27137e364ba13964e3fc45d2c0c8a55a93771c8284b,true,LOCAL_EXISTING,,cc-by for OA version (gold; https://dl.acm.org/doi/pdf/10.1145/3676536.3676723),local_only (gitignored),canonical
RW0027,Iceberg,ADJACENT,/home/benyamin/Desktop/Library/Iceberg: Enhancing HLS Modeling with Synthetic Data.pdf,related_work/papers/hls_dse/RW0027_Ding2025_Iceberg_ICLAD.pdf,,ae8c9505e90524abfecb69e0ddc3815cd4911a156ce636abe3faf29b0686d18c,ae8c9505e90524abfecb69e0ddc3815cd4911a156ce636abe3faf29b0686d18c,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/Iceberg: Enhancing HLS Modeling with Synthetic Data.pdf
RW0028,LIFT,ADJACENT,/home/benyamin/Desktop/Library/LIFT: LLM-Based Pragma Insertion for HLS via GNN Supervised Fine-Tuning.pdf,related_work/papers/hls_dse/RW0028_Prakriya2025_LIFT_arXiv.pdf,,921d038cefa1395c43efbdc3861d2fcbc82ad75aa770927bd764f8ba22bd1bd2,921d038cefa1395c43efbdc3861d2fcbc82ad75aa770927bd764f8ba22bd1bd2,true,LOCAL_EXISTING,,no license stated for OA version (green; https://arxiv.org/pdf/2504.21187),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/LIFT: LLM-Based Pragma Insertion for HLS via GNN Supervised Fine-Tuning.pdf
RW0029,LLMDSE,ADJACENT,/home/benyamin/Desktop/Library/LLM-DSE: Searching Accelerator Parameters with LLM Agents.pdf,related_work/papers/hls_dse/RW0029_Wang2025_LLMDSE_arXiv.pdf,,5d75eca169c909724154fc3604f43a14b8dde95f3929db75a01da720f2bdeb56,5d75eca169c909724154fc3604f43a14b8dde95f3929db75a01da720f2bdeb56,true,LOCAL_EXISTING,,no license stated for OA version (green; https://arxiv.org/pdf/2505.12188),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/LLM-DSE: Searching Accelerator Parameters with LLM Agents.pdf
RW0030,NLPDSE,SUPPORTING,/home/benyamin/Desktop/Library/Automatic Hardware Pragma Insertion in High-Level Synthesis: A Non-Linear Programming Approach.pdf,related_work/papers/hls_dse/RW0030_Pouget2025_NLPDSE_TODAES.pdf,related_work/papers/hls_dse/RW0030_Pouget2025_NLPDSE_TODAES.pdf,34b85a725f66942c067fc4aec706193321ea3de05fa4a35e4f76700a195c895d,34b85a725f66942c067fc4aec706193321ea3de05fa4a35e4f76700a195c895d,true,LOCAL_EXISTING,,no license stated for OA version (green; https://arxiv.org/pdf/2405.12304),local_only (gitignored),canonical
RW0031,Prometheus,CORE,/home/benyamin/Desktop/Library/Holistic Optimization Framework for FPGA Accelerators.pdf,related_work/papers/hls_dse/RW0031_Pouget2025_Prometheus_TODAES.pdf,related_work/papers/core/RW0031_Pouget2025_Prometheus_TODAES.pdf,2027336b4b0aa722526ee1226a6205285e7522b1cf8a8f6670a0ee0814f3903b,2027336b4b0aa722526ee1226a6205285e7522b1cf8a8f6670a0ee0814f3903b,true,LOCAL_EXISTING,,cc-by for OA version (hybrid; https://dl.acm.org/doi/pdf/10.1145/3769307),local_only (gitignored),moved_within_canonical (related_work/papers/hls_dse/RW0031_Pouget2025_Prometheus_TODAES.pdf -> related_work/papers/core/RW0031_Pouget2025_Prometheus_TODAES.pdf)
RW0032,Sisyphus,SUPPORTING,/home/benyamin/Desktop/Library/A Unified Framework for Automated Code Transformation and Pragma Insertion.pdf,related_work/papers/hls_dse/RW0032_Pouget2025_Sisyphus_FPGA_arxiv.pdf,related_work/papers/hls_dse/RW0032_Pouget2025_Sisyphus_FPGA_arxiv.pdf,ff9f6545572f50e730d2ffe9ce4efb9c0fcfacb6f90d399ce440827b5c165847,ff9f6545572f50e730d2ffe9ce4efb9c0fcfacb6f90d399ce440827b5c165847,true,LOCAL_EXISTING,,cc-by for OA version (gold; https://doi.org/10.1145/3706628.3708873),local_only (gitignored),canonical
RW0033,FIFOAdvisor,CORE,/home/benyamin/Desktop/Library/FIFOAdvisor: A DSE Framework for Automated FIFO Sizing of High-Level Synthesis Designs.pdf,related_work/papers/hls_dse/RW0033_AbiKaram2026_FIFOAdvisor_ASPDAC.pdf,related_work/papers/core/RW0033_AbiKaram2026_FIFOAdvisor_ASPDAC.pdf,8f57ad7f0cf58bdc300336cf47cbaf3068c365a7bea6924466b7a5b8ac4fbe0f,8f57ad7f0cf58bdc300336cf47cbaf3068c365a7bea6924466b7a5b8ac4fbe0f,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),moved_within_canonical (related_work/papers/hls_dse/RW0033_AbiKaram2026_FIFOAdvisor_ASPDAC.pdf -> related_work/papers/core/RW0033_AbiKaram2026_FIFOAdvisor_ASPDAC.pdf)
RW0034,MPMLLM4DSE,ADJACENT,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/MPMLLM4DSE.pdf,related_work/papers/hls_dse/RW0034_Xu2026_MPMLLM4DSE_DATE_arxiv.pdf,related_work/noncanonical_pdfs/ADJACENT/RW0034_Xu2026_MPMLLM4DSE_DATE_arxiv.pdf,3fc8c97cb72af9abbcd00c8463706203c2b53516b047022852d0d5dd53585eb7,3fc8c97cb72af9abbcd00c8463706203c2b53516b047022852d0d5dd53585eb7,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2601.04801,none (OpenAlex: closed),local_only (gitignored),moved out of canonical folders to related_work/noncanonical_pdfs/ADJACENT/RW0034_Xu2026_MPMLLM4DSE_DATE_arxiv.pdf
RW0035,PatternDSE,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/PatternDSE.pdf,related_work/papers/hls_dse/RW0035_Zhang2026_PatternDSE_ICECCME_arxiv.pdf,related_work/papers/hls_dse/RW0035_Zhang2026_PatternDSE_ICECCME_arxiv.pdf,bacd9ce5f87e9e98bcced49313ff282a76cd67f54605a1c37e1489a5ea1fac9a,bacd9ce5f87e9e98bcced49313ff282a76cd67f54605a1c37e1489a5ea1fac9a,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2607.15068,no license stated for OA version (green; https://arxiv.org/pdf/2607.15068),local_only (gitignored),canonical
RW0036,QoRML,SUPPORTING,/home/benyamin/Desktop/Library/Fast and Accurate Estimation of Quality of Results in High-Level Synthesis with Machine Learning.pdf,related_work/papers/multifidelity/RW0036_Dai2018_QoRML_FCCM_accepted.pdf,related_work/papers/multifidelity/RW0036_Dai2018_QoRML_FCCM_accepted.pdf,a51995b15e309d66eb2b70240e1dbe9dfaeef148d74983dcdae633590db0854b,a51995b15e309d66eb2b70240e1dbe9dfaeef148d74983dcdae633590db0854b,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),canonical
RW0037,FADO,CORE,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/FADO.pdf,related_work/papers/physical/RW0037_Du2023_FADO_FPGA_arxiv.pdf,related_work/papers/core/RW0037_Du2023_FADO_FPGA_arxiv.pdf,4e63512b5bd841b194d0ffbac8aab37b3397ea74ec0783cfade65e9e06bff353,4e63512b5bd841b194d0ffbac8aab37b3397ea74ec0783cfade65e9e06bff353,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2212.11582,no license stated for OA version (gold; https://dl.acm.org/doi/pdf/10.1145/3543622.3573188),local_only (gitignored),moved_within_canonical (related_work/papers/physical/RW0037_Du2023_FADO_FPGA_arxiv.pdf -> related_work/papers/core/RW0037_Du2023_FADO_FPGA_arxiv.pdf)
RW0038,RapidStream2,ADJACENT,/home/benyamin/Desktop/Library/RapidStream 2.0: Automated Parallel Implementation of Latency–Insensitive FPGA Designs Through Partial Reconfiguration.pdf,related_work/papers/physical/RW0038_Guo2023_RapidStream2_TRETS.pdf,,84621e5b380a0700bc525719721e5373832f155ad68715efb50f46209c03f955,84621e5b380a0700bc525719721e5373832f155ad68715efb50f46209c03f955,true,LOCAL_EXISTING,,cc-by for OA version (hybrid; https://dl.acm.org/doi/pdf/10.1145/3593025),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/RapidStream 2.0: Automated Parallel Implementation of Latency–Insensitive FPGA Designs Through Partial Reconfiguration.pdf
RW0039,TAPA,ADJACENT,/home/benyamin/Desktop/Library/TAPA: A Scalable Task-parallel Dataflow Programming Framework for Modern FPGAs with Co-optimization of HLS and Physical Design.pdf,related_work/papers/physical/RW0039_Guo2023_TAPA_TRETS.pdf,,4c527f953fc0bdc8abf7d0e1c335eabe632f91165daf90241eb08469210037c6,4c527f953fc0bdc8abf7d0e1c335eabe632f91165daf90241eb08469210037c6,true,LOCAL_EXISTING,,cc-by for OA version (hybrid; https://dl.acm.org/doi/pdf/10.1145/3609335),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/TAPA: A Scalable Task-parallel Dataflow Programming Framework for Modern FPGAs with Co-optimization of HLS and Physical Design.pdf
RW0040,RapidStreamIR,ADJACENT,/home/benyamin/Desktop/Library/RapidStream IR: Infrastructure for FPGA High-Level Physical Synthesis.pdf,related_work/papers/physical/RW0040_Lau2024_RapidStreamIR_ICCAD.pdf,,af17ea282c55cb76ee37ee66b5ccdfc1617075be284efd85bc11c22dd351d6f1,af17ea282c55cb76ee37ee66b5ccdfc1617075be284efd85bc11c22dd351d6f1,true,LOCAL_EXISTING,,cc-by-sa for OA version (gold; https://doi.org/10.1145/3676536.3676649),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/RapidStream IR: Infrastructure for FPGA High-Level Physical Synthesis.pdf
RW0041,TAPACS,ADJACENT,/home/benyamin/Desktop/Library/TAPA-CS: Enabling Scalable Accelerator Design on Distributed HBM-FPGAs.pdf,related_work/papers/physical/RW0041_Prakriya2024_TAPACS_ASPLOS.pdf,,63eea3584b15f3501a0e3a4fe26000015159d65671c335b656f747547669e227,63eea3584b15f3501a0e3a4fe26000015159d65671c335b656f747547669e227,true,LOCAL_EXISTING,,cc-by for OA version (gold; https://doi.org/10.1145/3620666.3651347),local_only (gitignored),repo copy removed; original retained at /home/benyamin/Desktop/Library/TAPA-CS: Enabling Scalable Accelerator Design on Distributed HBM-FPGAs.pdf
RW0042,HLPSDSE,SUPPORTING,/home/benyamin/Desktop/Library/Automated Design Space Exploration in High-Level Physical Synthesis.pdf,related_work/papers/physical/RW0042_Du2025_HLPSDSE_ICCAD.pdf,related_work/papers/physical/RW0042_Du2025_HLPSDSE_ICCAD.pdf,d0bcec56bd13f64aa64c659062391f70f17f6b39fc393a378ddc3532e79c220d,d0bcec56bd13f64aa64c659062391f70f17f6b39fc393a378ddc3532e79c220d,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),canonical
RW0043,DPRSurvey,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/DFX1.pdf,related_work/papers/lifecycle_dfx/RW0043_Vipin2018_DPRSurvey_CSUR_accepted.pdf,related_work/papers/lifecycle_dfx/RW0043_Vipin2018_DPRSurvey_CSUR_accepted.pdf,1c448e055d986641c1a2e562184f51a04cbd53d4b8488cb0fc02293a90ed8c67,1c448e055d986641c1a2e562184f51a04cbd53d4b8488cb0fc02293a90ed8c67,true,DOWNLOADED_OPEN_ACCESS,https://vipinkizheppatt.github.io/publications/pr_survey.pdf,none (OpenAlex: closed),local_only (gitignored),canonical
RW0044,FOS,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/DFX3.pdf,related_work/papers/lifecycle_dfx/RW0044_Vaishnav2020_FOS_TRETS_arxiv.pdf,related_work/papers/lifecycle_dfx/RW0044_Vaishnav2020_FOS_TRETS_arxiv.pdf,ba7485013bf6f1bbe99538c806b03e07a112546d0b9c0532d585baedd1e38188,ba7485013bf6f1bbe99538c806b03e07a112546d0b9c0532d585baedd1e38188,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2001.09990,other-oa for OA version (green; https://research.manchester.ac.uk/en/publications/603bcddc-6e1f-45f7-b7b0-0caca4ea8a9a),local_only (gitignored),canonical
RW0045,PLD,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/DFX2.pdf,related_work/papers/lifecycle_dfx/RW0045_Xiao2022_PLD_ASPLOS.pdf,related_work/papers/lifecycle_dfx/RW0045_Xiao2022_PLD_ASPLOS.pdf,17a42a757d216ee774c90c86068ab73d7dbe7baa5068b9274bbb3efb6f1a108f,17a42a757d216ee774c90c86068ab73d7dbe7baa5068b9274bbb3efb6f1a108f,true,DOWNLOADED_OPEN_ACCESS,https://ic.ese.upenn.edu/pdf/pld_asplos2022.pdf,cc-by-nc-nd for OA version (gold; https://dl.acm.org/doi/pdf/10.1145/3503222.3507740),local_only (gitignored),canonical
RW0046,Bonamy12DPR,SUPPORTING,/home/benyamin/Desktop/pragma_mach/reference/papers/bonamy2012_dpr_power_model.pdf,related_work/papers/energy_sustainability/RW0046_Bonamy2012_Bonamy12DPR_ReConFig.pdf,related_work/papers/energy_sustainability/RW0046_Bonamy2012_Bonamy12DPR_ReConFig.pdf,e29c6b640f4d97a3c18071a0995f908113b6b782dc40550c60a04ceb61ef3810,e29c6b640f4d97a3c18071a0995f908113b6b782dc40550c60a04ceb61ef3810,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),canonical
