paper_id,key,title,authors,year,venue,doi,url,decision,reason,identity_issue,original_location,local_copy,sha256,pdf_availability,reviewed_by,date,full_review_record
RW0049,PowerGear,PowerGear: Early-Stage Power Estimation in FPGA HLS via Heterogeneous Edge-Centric GNNs,"Lin, Zhe; Yuan, Zike; Zhao, Jieru; Zhang, Wei; Wang, Hui; Tian, Yonghong",2022,DATE,10.23919/DATE54114.2022.9774682,https://doi.org/10.23919/DATE54114.2022.9774682,ADJACENT,Power estimator without a DSE loop; power-aware DSE is covered by HL-Pow and measured power is required by policy.,none (identity verified),/home/benyamin/Desktop/Library/PowerGear Early-Stage Power Estimation in FPGA HLS via Heterogeneous Edge-Centric GNNs.pdf,none in repo; original retained,742fb84149125e530eae97931e43d76540169709ad3f829b739071e041ca651a,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0049_PowerGear.md
RW0051,FOCAL,FOCAL: A First-Order Carbon Model to Assess Processor Sustainability,"Eeckhout, Lieven",2024,ASPLOS,10.1145/3620665.3640415,https://doi.org/10.1145/3620665.3640415,EXCLUDE,Processor carbon model; outside FPGA/HLS DSE scope.,none (identity verified),/home/benyamin/Desktop/Sustainable_Design_Explorer/Papers/FOCAL_A_First-Order_Carbon_Model_to_Assess_Processor_Sustainability_2024.pdf,none in repo; original retained,2127c50699eeafdbc493ae513d6e7229b0be80e9b8628000def7f6147efda6ab,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0051_FOCAL.md
RW0054,SustHWSpec,Sustainable Hardware Specialization,"Dangi, Pranav; Bandara, Thilini Kaushalya; Sheikhpour, Saeideh; Mitra, Tulika; Eeckhout, Lieven",2024,ICCAD,10.1145/3676536.3676777,https://doi.org/10.1145/3676536.3676777,ADJACENT,Sustainability argument for hardware specialization (eFPGA); no DSE or Study-level method.,none (identity verified),/home/benyamin/Desktop/Sustainable_Design_Explorer/Papers/Sustainable_Hardware_Specialization_2024.pdf,none in repo; original retained,62ee8d8e756cab136829c8a6ee8f7f80fbfd3b5ed96d8265c5553a585ee02bc4,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0054_SustHWSpec.md
RW0055,ASI,The Architectural Sustainability Indicator,"Roelandts, Jaime; Naithani, Ajeya; Eeckhout, Lieven",2025,IEEE CAL,,https://biblio.ugent.be/publication/01KAV3F3SE1E4HHJ6DXWD7JE28,EXCLUDE,Architectural sustainability indicator for general-purpose architectures; outside scope.,none (identity verified),/home/benyamin/Desktop/Sustainable_Design_Explorer/Papers/The_Architectural_Sustainability_Indicator_2025.pdf,none in repo; original retained,167ee80bbf3419e5aaa97c6c08e8e5c241134b23488d46a6a1cea72a3e08afe4,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0055_ASI.md
RW0056,CATransformers,CATransformers: Carbon Aware Transformers Through Joint Model-Hardware Optimization,"Wang, Irene; Elhoushi, Mostafa; Sumbul, H. Ekin; Hsia, Samuel; Jiang, Daniel; Ardalani, Newsha; Mahajan, Divya; Wu, Carole-Jean; Acun, Bilge",2025,NeurIPS,10.48550/arXiv.2505.01386,https://arxiv.org/abs/2505.01386,ADJACENT,"Carbon-aware model-hardware co-design for ASIC-style accelerators, not FPGA/HLS.",Key renamed from placeholder ENERGY3.,https://arxiv.org/pdf/2505.01386,related_work/noncanonical_pdfs/ADJACENT/RW0056_Wang2025_CATransformers_NeurIPS_arxiv.pdf,ad0e83a21cf09e60bc235de58f637d66822e4ea8210162f9822846702a61a7c1,PDF_AVAILABLE,Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0056_CATransformers.md
RW0058,HIPPO,HIPPO: A Hierarchy-Preserving and Noise-Tolerant Pre-HLS Power Modeling Framework for FPGA,"Lin, Zefan; Peng, Zedong; Gao, Mingzhe; Zhao, Jieru; Lin, Zhe",2025,ICCAD,10.1109/ICCAD66269.2025.11240868,https://doi.org/10.1109/ICCAD66269.2025.11240868,ADJACENT,Pre-HLS power model without a DSE loop.,none (identity verified),/home/benyamin/Desktop/Library/HIPPO A Hierarchy-Preserving and Noise-Tolerant Pre-HLS Power Modeling Framework for FPGA.pdf,none in repo; original retained,7a22676cbf69916eb4950c0005855409f4694cee38165099d5c50c42e00038f9,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0058_HIPPO.md
RW0059,SustGap,The Sustainability Gap for Computing: Quo Vadis?,"Eeckhout, Lieven",2025,Communications of the ACM,10.1145/3699595,https://doi.org/10.1145/3699595,EXCLUDE,Perspective article on computing sustainability; no method or evidence for any Study.,none (identity verified),/home/benyamin/Desktop/Sustainable_Design_Explorer/Papers/The_Sustainability_Gap_for_Computing_Quo_Vadis_2024.pdf,none in repo; original retained,c9d6ad1dce432165717c63ae744e4c32244dce0c39a7592f0ff08a2720dadcc2,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0059_SustGap.md
RW0060,HLSToday,"FPGA HLS Today: Successes, Challenges, and Opportunities","Cong, Jason; Lau, Jason; Liu, Gai; Neuendorffer, Stephen; Pan, Peichen; Vissers, Kees; Zhang, Zhiru",2022,ACM TRETS,10.1145/3530775,https://doi.org/10.1145/3530775,ADJACENT,General HLS survey; background only.,none (identity verified),"/home/benyamin/Desktop/Library/FPGA HLS Today: Successes, Challenges, and Opportunities.pdf",none in repo; original retained,f851f669cec22fbae56b88b60266643348683694741f480151cc9e75c49840e7,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0060_HLSToday.md
RW0061,TARO,TARO: Automatic Optimization for Free-Running Kernels in FPGA High-Level Synthesis,"Choi, Young-Kyu; Chi, Yuze; Lau, Jason; Cong, Jason",2023,IEEE TCAD,10.1109/TCAD.2022.3216544,https://doi.org/10.1109/TCAD.2022.3216544,ADJACENT,"Optimization of free-running kernels; specific coding style, no Study question.",none (identity verified),/home/benyamin/Desktop/Library/TARO: Automatic Optimization for Free-Running Kernels in FPGA High-Level Synthesis.pdf,none in repo; original retained,3b87c2d419d17fa9a5f974deb7c6d407f7c86f999703a9f90b38fad028165b55,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0061_TARO.md
RW0062,HLSFactoryAgent,HLSFactory-Agent: Large-Scale Agentic HLS Dataset Construction from Academic and Open-Source Projects,"Chandana, Kaushik; Imperatori, Jay; Shukla, Tanmay; Zhou, Justin; Abi-Karam, Stefan; Hao, Callie",2026,OSCAR Workshop @ ISCA (arXiv),10.48550/arXiv.2609.09519,https://arxiv.org/abs/2609.09519,ADJACENT,2-page workshop paper on agentic benchmark extraction; benchmark acquisition is separate from DSE.,"Year 2026 (OSCAR workshop), separate from HLSFactory (MLCAD 2024).",https://arxiv.org/pdf/2609.09519,related_work/noncanonical_pdfs/ADJACENT/RW0062_Chandana2026_HLSFactoryAgent_OSCAR_arxiv.pdf,4a91ff723c1f02b08042786f649eb3b6109be3e0f3c3bd34e5755a6003c4e8ba,PDF_AVAILABLE,Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0062_HLSFactoryAgent.md
